song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,12,16,3,F4,65,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,0.5,below primo,-2,-9,none,not assessed,short,repeated,0,no,13,last,no,no,no,turning pitch 0 to 2 st below
Sunless 01,12,16,4,G4,67,o,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,C#4,6.5,inside,0,-7,none,not assessed,short,step,2,yes,14,first,yes,yes,yes,highest of phrase
Sunless 01,12,16,5,D4,62,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,leap-down,-5,no,14,middle,no,no,no,
Sunless 01,12,16,6,D4,62,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,repeated,0,no,14,last,no,no,no,
Sunless 01,12,17,1,E4,64,o,Bozeman tenor-mezzo midpoint (stand-in),1.463,close,C#4,3.5,below primo,-3,-10,none,not assessed,short,step,2,yes,15,only,yes,no,no,highest of phrase
Sunless 01,12,17,4,E4,64,ʌ,derived from Bozeman tenor-mezzo (stand-in),1.098,open,E4,-0.5,below primo,-3,-10,none,not assessed,short,repeated,0,yes,16,first,no,no,no,
Sunless 01,12,17,5.5,E4,64,i,Bozeman tenor-mezzo midpoint (stand-in),1.098,crossing,E3,11.5,below primo,-3,-10,none,not assessed,short,repeated,0,no,16,middle,no,no,no,crossing
Sunless 01,12,18,1,F#4,66,o,Bozeman tenor-mezzo midpoint (stand-in),1.098,close,C#4,5.5,below primo,-1,-8,none,not assessed,short,step,2,no,16,middle,yes,yes,yes,highest of phrase
Sunless 01,12,18,2.5,D4,62,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,leap-down,-4,no,16,middle,no,no,no,
Sunless 01,12,18,3,D4,62,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,repeated,0,no,16,last,no,no,no,
