song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 02,15,6,2.667,G4,67,ɪ,derived from Bozeman tenor-mezzo,0.167,close,D4,4.96,inside,3,-9,none,not assessed,short,step,2,no,4,middle,no,no,no,
Sunless 02,15,6,3,G#4,68,o,Bozeman tenor-mezzo midpoint,0.5,close,C#4,7.5,inside,4,-8,none,not assessed,short,step,1,no,4,last,no,no,no,
Sunless 02,15,6,4.5,G#4,68,o,Bozeman tenor-mezzo midpoint,0.25,close,C#4,7.5,inside,4,-8,none,not assessed,short,repeated,0,yes,5,first,no,no,no,
Sunless 02,15,7,1,A#4,70,ɨ,derived from Bozeman tenor-mezzo,0.167,crossing,A#3,12.11,inside,6,-6,none,not assessed,short,step,2,no,5,middle,no,no,no,crossing
Sunless 02,15,7,1.333,F4,65,ʌ,derived from Bozeman tenor-mezzo,0.167,close,E4,0.5,inside,1,-11,none,not assessed,short,leap-down,-5,no,5,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 02,15,7,1.667,G4,67,ɑ,Bozeman tenor-mezzo midpoint,0.167,close,E4,2.5,inside,3,-9,none,not assessed,short,step,2,no,5,middle,no,no,no,
Sunless 02,15,7,2,A#4,70,o,Bozeman tenor-mezzo midpoint,0.167,close,C#4,9.5,inside,6,-6,none,not assessed,short,leap-up,3,no,5,middle,no,no,no,
Sunless 02,15,7,2.333,G4,67,i,Bozeman tenor-mezzo midpoint,0.167,above,E3,14.5,inside,3,-9,none,not assessed,short,leap-down,-3,no,5,middle,no,no,no,
Sunless 02,15,7,2.667,A#4,70,ɑ,Bozeman tenor-mezzo midpoint,0.167,close,E4,5.5,inside,6,-6,none,not assessed,short,leap-up,3,no,5,middle,no,no,no,
Sunless 02,15,7,3,C5,72,e,Bozeman tenor-mezzo midpoint,0.25,close,D4,10.5,inside,8,-4,none,not assessed,short,step,2,no,5,middle,yes,no,no,highest of phrase
Sunless 02,15,7,3.5,G4,67,ɪ,derived from Bozeman tenor-mezzo,0.25,close,D4,4.96,inside,3,-9,none,not assessed,short,leap-down,-5,no,5,last,no,no,no,
